Date,Site,k600co2chamber,k600ch4chamber,CO2sat,co2,CO2conc,ch4,CH4conc,CH4sat,k.co2.model,k.ch4.model
2020-05-26,AL2,4.1113171556134835,4.115259814775743,0.014036010347274228,0.4219471780177896,0.11666666666666668,0.017309137015516205,0.004226666666666667,2.0580588366540953e-5,NA,NA
2020-06-02,AL2,3.3357670392803342,3.487049419100902,0.015294116404744052,0.29601335492193553,0.10403333333333332,0.014203798346011806,0.00409,1.670001514515296e-5,NA,NA
2020-06-09,AL2,2.0066982945532494,2.2203242371860705,0.013905423941044406,0.2088864082497497,0.11800000000000001,0.011656732183582869,0.005256666666666667,6.65318289006528e-6,NA,NA
2020-06-16,AL2,4.192950625373937,4.665445118635157,0.013867841190455003,0.42963274935972984,0.11633333333333332,0.01865013149185675,0.004003333333333334,5.83019748834177e-6,NA,NA
2020-06-23,AL2,1.7566144981114769,1.5315929452798707,0.01380949109155472,0.19180563100474535,0.123,0.006422346243277276,0.004203333333333333,1.008716889392413e-5,1.9552936797949143,1.953492562595514
2020-06-30,AL2,1.7114536461052994,1.5110362264671677,0.012978830336357857,0.1865846783235048,0.122,0.006540045300517765,0.004356666666666667,2.848102428235547e-5,2.1425250648317187,2.1719885585534806
2020-07-07,AL2,1.8979201085042563,1.55985457524023,0.012635142656486036,0.20187200159044177,0.11900000000000001,0.0077047402890429,0.004986666666666666,4.727012846289864e-5,2.1593556335420803,2.191202078287343
2020-07-21,AL2,1.173409265308073,0.9526385550868216,0.016358038385092505,0.16776853580242032,0.15933333333333335,0.006554300525623299,0.006893333333333333,1.317874518950823e-5,1.9406342475482208,1.9387605954802063
2020-07-28,AL2,1.4064789633000891,1.3354327701041437,0.012902765760430706,0.16844540718737736,0.13266666666666665,0.006789196358995931,0.005096666666666667,1.277438022346771e-5,2.021057409905965,2.0269858493745767
2020-08-04,AL2,0.7345334102187645,0.6844094039750308,0.014782222983010266,0.08267255090953128,0.12733333333333333,0.003654540960462525,0.005356666666666667,1.696657014979722e-5,1.8475163420416296,1.8417035769514265
